"","sex","age","year","population","citizenship"
"262","Maschi",32,2024,278377,"italiani"
"263","Maschi",32,2025,279528,"italiani"
"264","Maschi",32,2026,270372,"italiani"
"265","Maschi",33,2019,282955,"italiani"
"266","Maschi",33,2020,273315,"italiani"
"267","Maschi",33,2021,268052,"italiani"
"268","Maschi",33,2022,279156,"italiani"
"269","Maschi",33,2023,275872,"italiani"
"270","Maschi",33,2024,280592,"italiani"
"271","Maschi",33,2025,278913,"italiani"
"272","Maschi",33,2026,280240,"italiani"
"273","Maschi",34,2019,287919,"italiani"
"274","Maschi",34,2020,282462,"italiani"
"275","Maschi",34,2021,268531,"italiani"
"276","Maschi",34,2022,270640,"italiani"
"277","Maschi",34,2023,280788,"italiani"
"278","Maschi",34,2024,277039,"italiani"
"279","Maschi",34,2025,281146,"italiani"
"280","Maschi",34,2026,279689,"italiani"
"281","Maschi",35,2019,295272,"italiani"
"282","Maschi",35,2020,287815,"italiani"
"283","Maschi",35,2021,277975,"italiani"
"284","Maschi",35,2022,271209,"italiani"
"285","Maschi",35,2023,272324,"italiani"
"286","Maschi",35,2024,282039,"italiani"
"287","Maschi",35,2025,277915,"italiani"
"288","Maschi",35,2026,282237,"italiani"
"289","Maschi",36,2019,303716,"italiani"
"290","Maschi",36,2020,295101,"italiani"
"291","Maschi",36,2021,284248,"italiani"
"292","Maschi",36,2022,280646,"italiani"
"293","Maschi",36,2023,272748,"italiani"
"294","Maschi",36,2024,273466,"italiani"
"295","Maschi",36,2025,283011,"italiani"
"296","Maschi",36,2026,278971,"italiani"
"297","Maschi",37,2019,306463,"italiani"
"298","Maschi",37,2020,303609,"italiani"
"299","Maschi",37,2021,291763,"italiani"
"300","Maschi",37,2022,286705,"italiani"
"301","Maschi",37,2023,282174,"italiani"
"302","Maschi",37,2024,274211,"italiani"
"303","Maschi",37,2025,274660,"italiani"
"304","Maschi",37,2026,284238,"italiani"
"305","Maschi",38,2019,314120,"italiani"
"306","Maschi",38,2020,306394,"italiani"
"307","Maschi",38,2021,300685,"italiani"
"308","Maschi",38,2022,294483,"italiani"
"309","Maschi",38,2023,288547,"italiani"
"310","Maschi",38,2024,283818,"italiani"
"311","Maschi",38,2025,275594,"italiani"
"312","Maschi",38,2026,275971,"italiani"
"313","Maschi",39,2019,326348,"italiani"
"314","Maschi",39,2020,314179,"italiani"
"315","Maschi",39,2021,303751,"italiani"
"316","Maschi",39,2022,303467,"italiani"
"317","Maschi",39,2023,296164,"italiani"
"318","Maschi",39,2024,290114,"italiani"
"319","Maschi",39,2025,285438,"italiani"
"320","Maschi",39,2026,277036,"italiani"
"321","Maschi",40,2019,347757,"italiani"
"322","Maschi",40,2020,326612,"italiani"
"323","Maschi",40,2021,311991,"italiani"
"324","Maschi",40,2022,306366,"italiani"
"325","Maschi",40,2023,305271,"italiani"
"326","Maschi",40,2024,297754,"italiani"
"327","Maschi",40,2025,291856,"italiani"
"328","Maschi",40,2026,286840,"italiani"
"329","Maschi",41,2019,361996,"italiani"
"330","Maschi",41,2020,347746,"italiani"
"331","Maschi",41,2021,324481,"italiani"
"332","Maschi",41,2022,314577,"italiani"
"333","Maschi",41,2023,308118,"italiani"
"334","Maschi",41,2024,306995,"italiani"
"335","Maschi",41,2025,299614,"italiani"
"336","Maschi",41,2026,293256,"italiani"
"337","Maschi",42,2019,382068,"italiani"
"338","Maschi",42,2020,361904,"italiani"
"339","Maschi",42,2021,345767,"italiani"
