"","year","age","median","source","low90","high90"
"2589",2051,63,"627.29200000000003","UN","627.29200000000003","627.29200000000003"
"2590",2051,64,"611.86950000000002","UN","611.86950000000002","611.86950000000002"
"2591",2051,65,"623.95500000000004","UN","623.95500000000004","623.95500000000004"
"2592",2051,66,"635.92049999999995","UN","635.92049999999995","635.92049999999995"
"2593",2051,67,"649.67949999999996","UN","649.67949999999996","649.67949999999996"
"2594",2051,68,"665.17600000000004","UN","665.17600000000004","665.17600000000004"
"2595",2051,69,"684.29100000000005","UN","684.29100000000005","684.29100000000005"
"2596",2051,70,"692.74099999999999","UN","692.74099999999999","692.74099999999999"
"2597",2051,71,"700.1635","UN","700.1635","700.1635"
"2598",2051,72,"718.09749999999997","UN","718.09749999999997","718.09749999999997"
"2599",2051,73,"740.50599999999997","UN","740.50599999999997","740.50599999999997"
"2600",2051,74,"762.99099999999999","UN","762.99099999999999","762.99099999999999"
"2601",2051,75,"784.92750000000001","UN","784.92750000000001","784.92750000000001"
"2602",2051,76,"801.13549999999998","UN","801.13549999999998","801.13549999999998"
"2603",2051,77,"801.28499999999997","UN","801.28499999999997","801.28499999999997"
"2604",2051,78,"792.5865","UN","792.5865","792.5865"
"2605",2051,79,"785.14300000000003","UN","785.14300000000003","785.14300000000003"
"2606",2051,80,"769.72900000000004","UN","769.72900000000004","769.72900000000004"
"2607",2051,81,"746.16600000000005","UN","746.16600000000005","746.16600000000005"
"2608",2051,82,"731.65049999999997","UN","731.65049999999997","731.65049999999997"
"2609",2051,83,"710.09400000000005","UN","710.09400000000005","710.09400000000005"
"2610",2051,84,"675.40800000000002","UN","675.40800000000002","675.40800000000002"
"2611",2051,85,"646.3895","UN","646.3895","646.3895"
"2612",2051,86,"606.85950000000003","UN","606.85950000000003","606.85950000000003"
"2613",2051,87,"551.24749999999995","UN","551.24749999999995","551.24749999999995"
"2614",2051,88,"491.63350000000003","UN","491.63350000000003","491.63350000000003"
"2615",2051,89,"426.97449999999998","UN","426.97449999999998","426.97449999999998"
"2616",2051,90,"371.51","UN","371.51","371.51"
"2617",2051,91,"319.19450000000001","UN","319.19450000000001","319.19450000000001"
"2618",2051,92,"262.76350000000002","UN","262.76350000000002","262.76350000000002"
"2619",2051,93,"211.5205","UN","211.5205","211.5205"
"2620",2051,94,"170.309","UN","170.309","170.309"
"2621",2051,95,"135.50200000000001","UN","135.50200000000001","135.50200000000001"
"2622",2051,96,"101.098","UN","101.098","101.098"
"2623",2051,97,"73.135499999999993","UN","73.135499999999993","73.135499999999993"
"2624",2051,98,"51.478999999999999","UN","51.478999999999999","51.478999999999999"
"2625",2051,99,"35.464500000000001","UN","35.464500000000001","35.464500000000001"
"2626",2051,100,"60.271500000000003","UN","60.271500000000003","60.271500000000003"
"2627",2052,0,"334.68650000000002","UN","334.68650000000002","474.52699999999999"
"2628",2052,1,"341.05200000000002","UN","341.05200000000002","479.36099999999999"
"2629",2052,2,"347.54349999999999","UN","347.54349999999999","485.19049999999999"
"2630",2052,3,"354.2","UN","354.2","491.85050000000001"
"2631",2052,4,"360.39800000000002","UN","360.39800000000002","498.56049999999999"
"2632",2052,5,"366.19299999999998","UN","366.19299999999998","505.21100000000001"
"2633",2052,6,"372.01600000000002","UN","372.01600000000002","512.11099999999999"
"2634",2052,7,"377.20749999999998","UN","377.20749999999998","518.51149999999996"
"2635",2052,8,"381.46850000000001","UN","381.46850000000001","524.04600000000005"
"2636",2052,9,"384.7645","UN","384.7645","528.57749999999999"
"2637",2052,10,"387.2525","UN","387.2525","532.13300000000004"
"2638",2052,11,"389.24700000000001","UN","389.24700000000001","535.02300000000002"
"2639",2052,12,"390.58850000000001","UN","390.58850000000001","537.08799999999997"
"2640",2052,13,"391.25150000000002","UN","391.25150000000002","538.24199999999996"
"2641",2052,14,"391.09","UN","391.09","538.34500000000003"
"2642",2052,15,"390.5575","UN","390.5575","537.91200000000003"
"2643",2052,16,"390.65449999999998","UN","390.65449999999998","538.02549999999997"
"2644",2052,17,"393.14949999999999","UN","393.14949999999999","540.54600000000005"
"2645",2052,18,"399.00900000000001","UN","399.00900000000001","531.73400000000004"
