citizenship,year,tfr_mean,tfr_p10,tfr_p50,tfr_p90,arima_order
italiani,2075,1.2002668206308014,1.0965666463048658,1.2006725549941368,1.3045529914288347,"(2, 0, 0)"
stranieri,2025,1.7592264004621359,1.6454433193194329,1.7592249579589505,1.8722568795465666,"(2, 1, 0)"
stranieri,2026,1.7386835860412502,1.604866038427539,1.7383833453839326,1.86867033520921,"(2, 1, 0)"
stranieri,2027,1.6885526153289387,1.4959916045090758,1.6909982013136542,1.8761725423253799,"(2, 1, 0)"
stranieri,2028,1.6654298069568432,1.4528464875072784,1.6658221652436704,1.8759143509630047,"(2, 1, 0)"
stranieri,2029,1.6177888157671436,1.3609149455645613,1.6159532192571158,1.8798343300589786,"(2, 1, 0)"
stranieri,2030,1.5928492311596971,1.3212108946800758,1.5941090242767726,1.8636001967613323,"(2, 1, 0)"
stranieri,2031,1.546139220245442,1.2371453246313922,1.5489096290816085,1.8585361519766885,"(2, 1, 0)"
stranieri,2032,1.514954997268826,1.185581248974762,1.5179914882439483,1.8358238189832845,"(2, 1, 0)"
stranieri,2033,1.4682520901471066,1.1216311973071869,1.4670838870106948,1.8126349262028787,"(2, 1, 0)"
stranieri,2034,1.4536550061865825,1.098510798301277,1.4552184702299105,1.8105956331268958,"(2, 1, 0)"
stranieri,2035,1.3940664482127108,1.002980325215843,1.3958261196129569,1.7881744510747437,"(2, 1, 0)"
stranieri,2036,1.3642590518050461,0.9589631253379141,1.3637527256994506,1.7555151365814772,"(2, 1, 0)"
stranieri,2037,1.3108944107125344,0.8850072147091995,1.3150994412217274,1.7311712356312554,"(2, 1, 0)"
stranieri,2038,1.3003761946388692,0.8482929431085624,1.303014687436281,1.7462947480772582,"(2, 1, 0)"
stranieri,2039,1.251620277662322,0.8034020448086072,1.2497409641531314,1.7038937461948525,"(2, 1, 0)"
stranieri,2040,1.2199091331323495,0.7540900821701996,1.2198044188216297,1.6800103522560854,"(2, 1, 0)"
stranieri,2041,1.1769579641283086,0.682060955132337,1.1746918989885502,1.6558675252097084,"(2, 1, 0)"
stranieri,2042,1.1456336450267366,0.6528901746822682,1.1388170180022565,1.6429413999833926,"(2, 1, 0)"
stranieri,2043,1.084632752198939,0.5824839621945935,1.0749125851142252,1.5995993306210756,"(2, 1, 0)"
stranieri,2044,1.0704029959851469,0.5462746340032524,1.0682743569276374,1.6068536599864467,"(2, 1, 0)"
stranieri,2045,1.029145147471413,0.47471983259929307,1.0347010161977575,1.5522828280017817,"(2, 1, 0)"
stranieri,2046,0.9945212199050062,0.44249171834736767,0.9832781365359722,1.5441890208413327,"(2, 1, 0)"
stranieri,2047,0.959676013732541,0.3944027401505588,0.9536600863184171,1.524943198306033,"(2, 1, 0)"
stranieri,2048,0.9201596037772685,0.3379297559165513,0.912505654715785,1.512423964100951,"(2, 1, 0)"
stranieri,2049,0.8720873209377141,0.27499899409873585,0.8614683777546845,1.4718619609509267,"(2, 1, 0)"
stranieri,2050,0.8517751645387522,0.22368959236594613,0.8420092667596274,1.4779119006404975,"(2, 1, 0)"
stranieri,2051,0.815822511378201,0.19447397318944606,0.8132053247217101,1.4217587786846502,"(2, 1, 0)"
stranieri,2052,0.8065703940194447,0.16736663030633647,0.7908895163768387,1.4029975363203144,"(2, 1, 0)"
stranieri,2053,0.7491526748940548,0.08799873451855078,0.7376649039710595,1.3589998724873735,"(2, 1, 0)"
stranieri,2054,0.7163750553932235,0.05,0.7004297089223394,1.3293367394503999,"(2, 1, 0)"
stranieri,2055,0.6764316356008557,0.05,0.6372245979209022,1.3108277453292343,"(2, 1, 0)"
stranieri,2056,0.6494278819859618,0.05,0.6208484486026251,1.2759837477289302,"(2, 1, 0)"
stranieri,2057,0.6269034412950494,0.05,0.5933442461727302,1.2558948792130888,"(2, 1, 0)"
stranieri,2058,0.5903577393203817,0.05,0.5424494452040136,1.2273373834865462,"(2, 1, 0)"
stranieri,2059,0.5824954065492934,0.05,0.5193060928977541,1.2343086949066675,"(2, 1, 0)"
stranieri,2060,0.5367277244314989,0.05,0.46137097206271027,1.1784359335797483,"(2, 1, 0)"
stranieri,2061,0.5048976196406741,0.05,0.42517377090430497,1.1179012190818145,"(2, 1, 0)"
stranieri,2062,0.5010961769806639,0.05,0.4118659378780395,1.133539596263148,"(2, 1, 0)"
stranieri,2063,0.4713716241098071,0.05,0.34844967546001604,1.1220261276658405,"(2, 1, 0)"
stranieri,2064,0.4500288480022982,0.05,0.3336787326630053,1.0634267870650957,"(2, 1, 0)"
