year,age_mother,citizenship,asfr
2058,48,stranieri,0.2230251499051297
2058,49,stranieri,0.15939387032144897
2058,50,stranieri,0.31749879609337184
2059,14,stranieri,0.017533458782752063
2059,15,stranieri,0.05922002964163035
2059,16,stranieri,0.6026986674682606
2059,17,stranieri,1.520230318584375
2059,18,stranieri,3.787753473595419
2059,19,stranieri,9.410361265692515
2059,20,stranieri,15.87935166602868
2059,21,stranieri,21.274869357119343
2059,22,stranieri,26.07681518024561
2059,23,stranieri,30.348861673977545
2059,24,stranieri,33.85033046880946
2059,25,stranieri,35.93676333836703
2059,26,stranieri,37.17912883016423
2059,27,stranieri,37.206415100135764
2059,28,stranieri,37.04719983417012
2059,29,stranieri,35.15326348923474
2059,30,stranieri,33.60028409033971
2059,31,stranieri,31.903151450810046
2059,32,stranieri,28.891804555775096
2059,33,stranieri,26.541644315935578
2059,34,stranieri,24.383923885219232
2059,35,stranieri,21.824589577660035
2059,36,stranieri,19.535725323710654
2059,37,stranieri,16.836049195842868
2059,38,stranieri,14.107309260872801
2059,39,stranieri,11.692329599074649
2059,40,stranieri,9.275736897684489
2059,41,stranieri,6.706662417733681
2059,42,stranieri,4.560146488346532
2059,43,stranieri,2.9525957882292917
2059,44,stranieri,1.7204623555055574
2059,45,stranieri,1.005585346338026
2059,46,stranieri,0.5775729471255676
2059,47,stranieri,0.3384405290524913
2059,48,stranieri,0.22005492045256997
2059,49,stranieri,0.15727107668858897
2059,50,stranieri,0.3132703748785001
2060,14,stranieri,0.016155824283025682
2060,15,stranieri,0.054567008414045534
2060,16,stranieri,0.5553435798308932
2060,17,stranieri,1.4007831655519067
2060,18,stranieri,3.4901430633313213
2060,19,stranieri,8.670972734591068
2060,20,stranieri,14.63168325334057
2060,21,stranieri,19.603265689714547
2060,22,stranieri,24.0279142371736
2060,23,stranieri,27.964298571652066
2060,24,stranieri,31.190650843769077
2060,25,stranieri,33.11314903631397
2060,26,stranieri,34.257899700142765
2060,27,stranieri,34.28304204019452
2060,28,stranieri,34.13633659593577
2060,29,stranieri,32.39121013964799
2060,30,stranieri,30.960251046260893
2060,31,stranieri,29.396465084291947
2060,32,stranieri,26.621724977720493
2060,33,stranieri,24.456220935292126
2060,34,stranieri,22.46803636985773
2060,35,stranieri,20.109793431783217
2060,36,stranieri,18.000769242506816
2060,37,stranieri,15.513211386220279
2060,38,stranieri,12.998873316950199
2060,39,stranieri,10.773642827831168
2060,40,stranieri,8.546926038459976
2060,41,stranieri,6.179708230361528
2060,42,stranieri,4.201847809004827
2060,43,stranieri,2.7206051769066226
2060,44,stranieri,1.5852826213873503
2060,45,stranieri,0.9265747482181996
2060,46,stranieri,0.5321920312476606
2060,47,stranieri,0.31184866519348964
2060,48,stranieri,0.20276482076338467
2060,49,stranieri,0.14491401333104725
2060,50,stranieri,0.2886561740227407
2061,14,stranieri,0.015197719164726562
2061,15,stranieri,0.05133096615857871
2061,16,stranieri,0.5224094802189305
2061,17,stranieri,1.317711110729386
2061,18,stranieri,3.283163594256058
2061,19,stranieri,8.156749305807407
2061,20,stranieri,13.763965805516753
2061,21,stranieri,18.440713481689695
2061,22,stranieri,22.602962640189727
2061,23,stranieri,26.305903610071883
2061,24,stranieri,29.340920264073816
2061,25,stranieri,31.14940661012114
2061,26,stranieri,32.22626897243238
2061,27,stranieri,32.24992027097071
2061,28,stranieri,32.11191504742272
2061,29,stranieri,30.470281582922752
2061,30,stranieri,29.12418409779735
2061,31,stranieri,27.653136909650108
2061,32,stranieri,25.042950010113046
2061,33,stranieri,23.00586903483378
2061,34,stranieri,21.135591781022434
2061,35,stranieri,18.917202098936592
2061,36,stranieri,16.93325149519587
2061,37,stranieri,14.593215787728278
2061,38,stranieri,12.22798804121858
2061,39,stranieri,10.134722636868403
2061,40,stranieri,8.040059075826802
2061,41,stranieri,5.813226769472817
2061,42,stranieri,3.952661396625284
2061,43,stranieri,2.5592623881264798
2061,44,stranieri,1.4912690095224528
2061,45,stranieri,0.8716251527532808
2061,46,stranieri,0.5006309112377013
2061,47,stranieri,0.2933547897327029
2061,48,stranieri,0.19074005438928426
2061,49,stranieri,0.13632003165277287
2061,50,stranieri,0.271537706223459
2062,14,stranieri,0.015083293475794294
2062,15,stranieri,0.05094448835210057
2062,16,stranieri,0.5184761883854072
2062,17,stranieri,1.307789885049096
2062,18,stranieri,3.258444210243355
2062,19,stranieri,8.095336033944147
2062,20,stranieri,13.66033504009296
2062,21,stranieri,18.30187084868182
2062,22,stranieri,22.432781868721275
2062,23,stranieri,26.10784289379318
2062,24,stranieri,29.120008495752966
2062,25,stranieri,30.914878502807042
2062,26,stranieri,31.98363302233233
2062,27,stranieri,32.00710624703602
2062,28,stranieri,31.87014008353445
2062,29,stranieri,30.240866700051484
2062,30,stranieri,28.904904165469382
2062,31,stranieri,27.444932691127033
2062,32,stranieri,24.85439824278901
2062,33,stranieri,22.832654726471883
2062,34,stranieri,20.976459043779347
2062,35,stranieri,18.774771918500978
2062,36,stranieri,16.80575874794875
2062,37,stranieri,14.483341486713181
2062,38,stranieri,12.135921860714372
2062,39,stranieri,10.058416935513382
2062,40,stranieri,7.979524380532333
2062,41,stranieri,5.769458196649054
2062,42,stranieri,3.922901272851279
2062,43,stranieri,2.5399933544809903
2062,44,stranieri,1.4800410428816426
2062,45,stranieri,0.8650625687554152
2062,46,stranieri,0.49686159320397155
2062,47,stranieri,0.2911460817316593
2062,48,stranieri,0.18930394664878009
2062,49,stranieri,0.13529365964470597
2062,50,stranieri,0.2694932620033143
2063,14,stranieri,0.014188566724755446
2063,15,stranieri,0.04792250932479062
2063,16,stranieri,0.4877206696209186
2063,17,stranieri,1.2302130218282588
2063,18,stranieri,3.065156371194738
2063,19,stranieri,7.615128331306635
2063,20,stranieri,12.85001684213846
2063,21,stranieri,17.216221121806676
2063,22,stranieri,21.102090394052663
2063,23,stranieri,24.559150263335287
2063,24,stranieri,27.392637041140556
2063,25,stranieri,29.08103705127216
2063,26,stranieri,30.086394060137888
2063,27,stranieri,30.10847487527869
2063,28,stranieri,29.979633415487797
2063,29,stranieri,28.447006993313195
2063,30,stranieri,27.190292496965878
2063,31,stranieri,25.81692515427051
2063,32,stranieri,23.380058767495786
2063,33,stranieri,21.478243170813137
2063,34,stranieri,19.732155266314603
2063,35,stranieri,17.661070145934286
2063,36,stranieri,15.808856980610894
2063,37,stranieri,13.624203322134663
2063,38,stranieri,11.416030415605002
2063,39,stranieri,9.461761124251174
2063,40,stranieri,7.506186516007822
2063,41,stranieri,5.427219374880692
2063,42,stranieri,3.690198467185055
2063,43,stranieri,2.389323342963803
2063,44,stranieri,1.392246403347063
2063,45,stranieri,0.8137478726096458
2063,46,stranieri,0.46738823185110795
2063,47,stranieri,0.2738755706059888
2063,48,stranieri,0.17807461497690696
2063,49,stranieri,0.12726816728626808
2063,50,stranieri,0.25350717573336
2064,14,stranieri,0.013546136448081935
2064,15,stranieri,0.045752672756964576
2064,16,stranieri,0.4656376410245712
2064,17,stranieri,1.1745114060617015
2064,18,stranieri,2.9263721448670323
2064,19,stranieri,7.2703303615265025
2064,20,stranieri,12.26819346030589
2064,21,stranieri,16.436704634122453
2064,22,stranieri,20.146629420916607
2064,23,stranieri,23.447160447548395
2064,24,stranieri,26.152352540631195
2064,25,stranieri,27.76430513315635
2064,26,stranieri,28.724141562396905
2064,27,stranieri,28.745222601841174
2064,28,stranieri,28.622214828867712
2064,29,stranieri,27.158982703913907
2064,30,stranieri,25.95916975775484
2064,31,stranieri,24.64798577572287
2064,32,stranieri,22.321455885751636
2064,33,stranieri,20.505750742905533
2064,34,stranieri,18.838722249927834
2064,35,stranieri,16.86141177308349
2064,36,stranieri,15.093063161477208
2064,37,stranieri,13.00732630562643
2064,38,stranieri,10.89913510681991
2064,39,stranieri,9.033351268993146
2064,40,stranieri,7.166321216447411
2064,41,stranieri,5.181485601187455
2064,42,stranieri,3.523113569306145
2064,43,stranieri,2.2811395012791755
2064,44,stranieri,1.329208236106434
2064,45,stranieri,0.7769029762163416
2064,46,stranieri,0.44622581587725446
2064,47,stranieri,0.261475025715747
2064,48,stranieri,0.17001174813578032
2064,49,stranieri,0.12150571604594682
2064,50,stranieri,0.2420288715322068
2065,14,stranieri,0.012565188419046075
2065,15,stranieri,0.04243947756392324
2065,16,stranieri,0.431918334567073
2065,17,stranieri,1.0894587673796587
2065,18,stranieri,2.7144579212996756
2065,19,stranieri,6.743846941998507
2065,20,stranieri,11.379788102745675
2065,21,stranieri,15.246435137245355
2065,22,stranieri,18.687704472248875
2065,23,stranieri,21.749226433989353
2065,24,stranieri,24.25852113137977
2065,25,stranieri,25.753743634510265
2065,26,stranieri,26.644073185751402
2065,27,stranieri,26.66362763463074
2065,28,stranieri,26.549527510928115
2065,29,stranieri,25.192255832666742
2065,30,stranieri,24.0793277447296
2065,31,stranieri,22.8630935919576
2065,32,stranieri,20.705040146824146
2065,33,stranieri,19.020819902865014
2065,34,stranieri,17.474509839145767
2065,35,stranieri,15.640386965828554
2065,36,stranieri,14.000093913964482
2065,37,stranieri,12.06539639436105
2065,38,stranieri,10.109870570602691
2065,39,stranieri,8.379198097210933
2065,40,stranieri,6.64736965415842
2065,41,stranieri,4.806266577856104
2065,42,stranieri,3.267986114690131
2065,43,stranieri,2.115950016711973
2065,44,stranieri,1.2329531744226678
2065,45,stranieri,0.7206432857730622
2065,46,stranieri,0.41391222326969657
2065,47,stranieri,0.24254022374464468
2065,48,stranieri,0.1577002901871673
2065,49,stranieri,0.11270683873294446
2065,50,stranieri,0.22450226935975423
2066,14,stranieri,0.012136138399573483
2066,15,stranieri,0.0409903422172851
2066,16,stranieri,0.4171700821989927
2066,17,stranieri,1.0522581867142464
2066,18,stranieri,2.621770236471502
2066,19,stranieri,6.513572029654272
2066,20,stranieri,10.991214677163278
2066,21,stranieri,14.725831460295531
2066,22,stranieri,18.04959546024529
2066,23,stranieri,21.006578913410003
2066,24,stranieri,23.430191414650785
2066,25,stranieri,24.874358157796685
2066,26,stranieri,25.734286580255862
2066,27,stranieri,25.75317332433105
2066,28,stranieri,25.642969255240885
2066,29,stranieri,24.332042878026087
2066,30,stranieri,23.257116752485086
2066,31,stranieri,22.08241204356441
2066,32,stranieri,19.99804733605895
2066,33,stranieri,18.371336355341064
2066,34,stranieri,16.87782648377363
2066,35,stranieri,15.106331438091624
2066,36,stranieri,13.52204771472885
2066,37,stranieri,11.653412237394612
2066,38,stranieri,9.764659657680165
2066,39,stranieri,8.093082602012814
2066,40,stranieri,6.420389048341551
2066,41,stranieri,4.642152145183221
2066,42,stranieri,3.1563976960064415
2066,43,stranieri,2.0436989397207834
2066,44,stranieri,1.1908528440612869
2066,45,stranieri,0.6960362519998912
2066,46,stranieri,0.3997788062821231
2066,47,stranieri,0.23425846271965348
2066,48,stranieri,0.15231546742771884
2066,49,stranieri,0.10885835912878941
2066,50,stranieri,0.21683643102704453
2067,14,stranieri,0.011667934627789254
2067,15,stranieri,0.039408963346924356
2067,16,stranieri,0.4010759508097223
2067,17,stranieri,1.0116627983221895
2067,18,stranieri,2.520624165699046
2067,19,stranieri,6.262282954689573
2067,20,stranieri,10.567181265636027
2067,21,stranieri,14.157719132851117
2067,22,stranieri,17.353254631274243
2067,23,stranieri,20.196159721100262
2067,24,stranieri,22.526270939060996
2067,25,stranieri,23.91472273450574
2067,26,stranieri,24.74147571700174
2067,27,stranieri,24.759633823637113
2067,28,stranieri,24.65368135082207
2067,29,stranieri,23.39332960073619
2067,30,stranieri,22.359873376888583
2067,31,stranieri,21.230487957954633
2067,32,stranieri,19.226536589989063
2067,33,stranieri,17.662582986593254
2067,34,stranieri,16.226691686274926
2067,35,stranieri,14.523539686360635
2067,36,stranieri,13.000376526263757
2067,37,stranieri,11.203831704933283
2067,38,stranieri,9.3879458850294
2067,39,stranieri,7.7808571086254865
2067,40,stranieri,6.1726949079334865
2067,41,stranieri,4.463061146711465
2067,42,stranieri,3.034626069986323
2067,43,stranieri,1.9648544571955735
2067,44,stranieri,1.1449105702611575
2067,45,stranieri,0.669183657891673
2067,46,stranieri,0.3843556182120806
2067,47,stranieri,0.22522093428955817
2067,48,stranieri,0.14643924271745665
2067,49,stranieri,0.1046586794072618
2067,50,stranieri,0.20847103245259677
2068,14,stranieri,0.01079648673047072
2068,15,stranieri,0.03646560967382553
2068,16,stranieri,0.3711206240832828
2068,17,stranieri,0.9361043171927578
2068,18,stranieri,2.3323652579145313
2068,19,stranieri,5.794569217223088
2068,20,stranieri,9.77794579352513
2068,21,stranieri,13.100315662337575
2068,22,stranieri,16.057184868932563
2068,23,stranieri,18.68776072125115
2068,24,stranieri,20.843841951370333
2068,25,stranieri,22.128593868793242
2068,26,stranieri,22.893598806653987
2068,27,stranieri,22.910400731209887
2068,28,stranieri,22.812361574898215
2068,29,stranieri,21.64614224134801
2068,30,stranieri,20.68987219328663
2068,31,stranieri,19.644837653920362
2068,32,stranieri,17.79055623712018
2068,33,stranieri,16.343410288434487
2068,34,stranieri,15.014762000213624
2068,35,stranieri,13.438814023675008
2068,36,stranieri,12.029411985446103
2068,37,stranieri,10.367046456075167
2068,38,stranieri,8.68678445735356
