"","sex","age","year","population","citizenship"
"441","Maschi",55,2019,22732,"stranieri"
"442","Maschi",55,2020,24336,"stranieri"
"443","Maschi",55,2021,26067,"stranieri"
"444","Maschi",55,2022,26606,"stranieri"
"445","Maschi",55,2023,30591,"stranieri"
"446","Maschi",55,2024,33763,"stranieri"
"447","Maschi",55,2025,33702,"stranieri"
"448","Maschi",55,2026,34586,"stranieri"
"449","Maschi",56,2019,21439,"stranieri"
"450","Maschi",56,2020,22403,"stranieri"
"451","Maschi",56,2021,24403,"stranieri"
"452","Maschi",56,2022,25003,"stranieri"
"453","Maschi",56,2023,25957,"stranieri"
"454","Maschi",56,2024,30284,"stranieri"
"455","Maschi",56,2025,32990,"stranieri"
"456","Maschi",56,2026,32893,"stranieri"
"457","Maschi",57,2019,18670,"stranieri"
"458","Maschi",57,2020,21030,"stranieri"
"459","Maschi",57,2021,22186,"stranieri"
"460","Maschi",57,2022,23442,"stranieri"
"461","Maschi",57,2023,24324,"stranieri"
"462","Maschi",57,2024,25769,"stranieri"
"463","Maschi",57,2025,29594,"stranieri"
"464","Maschi",57,2026,32162,"stranieri"
"465","Maschi",58,2019,18547,"stranieri"
"466","Maschi",58,2020,18328,"stranieri"
"467","Maschi",58,2021,20715,"stranieri"
"468","Maschi",58,2022,21356,"stranieri"
"469","Maschi",58,2023,22830,"stranieri"
"470","Maschi",58,2024,24162,"stranieri"
"471","Maschi",58,2025,25222,"stranieri"
"472","Maschi",58,2026,28864,"stranieri"
"473","Maschi",59,2019,15997,"stranieri"
"474","Maschi",59,2020,18251,"stranieri"
"475","Maschi",59,2021,17950,"stranieri"
"476","Maschi",59,2022,19893,"stranieri"
"477","Maschi",59,2023,20780,"stranieri"
"478","Maschi",59,2024,22604,"stranieri"
"479","Maschi",59,2025,23615,"stranieri"
"480","Maschi",59,2026,24568,"stranieri"
"481","Maschi",60,2019,14966,"stranieri"
"482","Maschi",60,2020,15690,"stranieri"
